method,label,seed,src,total_wirelength_mm,bbox_area_mm2,max_temp_C
ATPlace2.5D,xerox6_m_wl10,1,AT/50set.csv,63736.646788,1548.599895,74.770000
ATPlace2.5D,xerox6_m_wl11,1,AT/50set.csv,53751.230906,1462.701323,75.330000
ATPlace2.5D,xerox6_m_wl12,1,AT/50set.csv,48961.698138,1428.903094,75.370000
ATPlace2.5D,xerox6_m_wl13,1,AT/50set.csv,56860.507670,1412.512833,75.730000
ATPlace2.5D,xerox6_m_wl17,1,AT/50set.csv,47748.803668,1539.479617,74.960000
ATPlace2.5D,xerox6_m_wl18,1,AT/50set.csv,46873.075068,1548.602846,76.650000
ATPlace2.5D,xerox6_m_wl22,1,AT/50set.csv,45557.243316,1321.652785,77.220000
ATPlace2.5D,xerox6_m_wl24,1,AT/50set.csv,42996.838956,1187.768123,78.400000
ATPlace2.5D,xerox6_m_wl26,1,AT/50set.csv,42656.566576,1058.635926,79.830000
ATPlace2.5D,xerox6_m_wl28,1,AT/50set.csv,40286.719036,1212.421085,79.110000
ATPlace2.5D,xerox6_m_wl33,1,AT/50set.csv,39925.308546,1109.619834,79.930000
ATPlace2.5D,xerox6_m_wl35,1,AT/50set.csv,42088.109966,1075.455142,78.740000
ATPlace2.5D,xerox6_m_wl37,1,AT/50set.csv,40000.861198,1066.100033,79.560000
ATPlace2.5D,xerox6_m_wl41,1,AT/50set.csv,38770.640848,1057.945765,80.510000
ATPlace2.5D,xerox6_m_wl49,1,AT/50set.csv,41451.720118,1116.702652,79.190000
MILP,xerox6_m,1,ILP/result.csv,34539.875000,1221.759000,79.200000
TW-FM,xerox6_m_t0-w50,946615675,result_seed3_4case.csv,62093.339370,1071.399701,78.460000
TW-FM,xerox6_m_t0p01-w2,1486441653,result_seed3_4case.csv,40604.140214,993.597993,81.540000
TW-FM,xerox6_m_t0p03-w2,946615675,result_seed3_4case.csv,72461.994378,903.100139,80.680000
TW-FM,xerox6_m_t0p3-w2,946615675,result_seed3_4case.csv,53930.096214,981.140403,81.230000
TW-FM,xerox6_m_t1-w0p02,946615675,result_seed3_4case.csv,60989.393718,1290.245846,77.760000
TW-FM,xerox6_m_t1-w2,946615675,result_seed3_4case.csv,52312.068696,1064.286809,79.520000
TW-FM,xerox6_m_t10-w0,946615675,result_seed3_4case.csv,69166.062808,1435.196495,75.120000
TW-FM,xerox6_m_t10-w0p02,946615675,result_seed3_4case.csv,66978.005346,1347.244937,75.640000
TW-FM,xerox6_m_t10-w0p02,1056634028,result_seed3_4case.csv,86843.619410,1169.934426,77.230000
TW-FM,xerox6_m_t10-w0p2,1486441653,result_seed3_4case.csv,56069.114420,995.683649,79.550000
TW-FM,xerox6_m_t10-w2,946615675,result_seed3_4case.csv,62277.734032,948.610860,80.580000
TW-FM,xerox6_m_t100-w0,1056634028,result_seed3_4case.csv,85430.997840,1234.629128,76.940000
TW-FM,xerox6_m_t100-w0p02,946615675,result_seed3_4case.csv,67995.419926,1343.201426,75.600000
TW-FM,xerox6_m_t100-w0p2,946615675,result_seed3_4case.csv,57757.472954,1111.308717,78.590000
TW-FM,xerox6_m_t100-w2,946615675,result_seed3_4case.csv,58570.187492,875.303706,81.500000
TW-FM,xerox6_m_t3-w0p02,946615675,result_seed3_4case.csv,62568.224118,1368.973913,76.490000
TW-FM,xerox6_m_t3-w0p2,1486441653,result_seed3_4case.csv,78078.739460,1019.270772,78.580000
TW-FM,xerox6_m_t3-w2,946615675,result_seed3_4case.csv,54794.957540,875.308881,80.720000
TW-FM,xerox6_m_t3-w50,1056634028,result_seed3_4case.csv,41288.647344,994.567864,80.410000
TW-FM,xerox6_m_t30-w0,946615675,result_seed3_4case.csv,65043.632634,1299.436335,76.410000
TW-FM,xerox6_m_t30-w0p02,946615675,result_seed3_4case.csv,64408.713250,1335.491587,75.700000
TW-FM,xerox6_m_t30-w0p2,946615675,result_seed3_4case.csv,71167.823986,958.694322,80.150000
