method,label,seed,total_wirelength_mm,bbox_area_mm2,max_temp_C,src
ATPlace2.5D,Case7_wl00,1,60038.875096,753.489022,74.730000,AT/50set.csv
ATPlace2.5D,Case7_wl01,1,60211.444324,753.487512,75.100000,AT/50set.csv
ATPlace2.5D,Case7_wl02,1,60057.925890,753.490532,74.720000,AT/50set.csv
ATPlace2.5D,Case7_wl03,1,52892.571044,753.487512,75.540000,AT/50set.csv
ATPlace2.5D,Case7_wl04,1,53093.885734,753.490532,75.590000,AT/50set.csv
ATPlace2.5D,Case7_wl05,1,52499.429560,753.490532,75.610000,AT/50set.csv
ATPlace2.5D,Case7_wl06,1,58439.155996,753.484493,75.570000,AT/50set.csv
ATPlace2.5D,Case7_wl07,1,58217.672952,753.484493,75.570000,AT/50set.csv
ATPlace2.5D,Case7_wl08,1,57264.860822,753.484493,76.370000,AT/50set.csv
ATPlace2.5D,Case7_wl09,1,56559.712148,753.484493,75.610000,AT/50set.csv
ATPlace2.5D,Case7_wl10,1,56863.240112,753.484493,75.570000,AT/50set.csv
ATPlace2.5D,Case7_wl11,1,53081.699642,753.489022,76.560000,AT/50set.csv
ATPlace2.5D,Case7_wl12,1,54378.988812,753.487512,75.740000,AT/50set.csv
ATPlace2.5D,Case7_wl13,1,59528.893736,753.489022,76.270000,AT/50set.csv
ATPlace2.5D,Case7_wl14,1,42907.389022,753.484493,76.980000,AT/50set.csv
ATPlace2.5D,Case7_wl15,1,52390.046366,753.489022,75.730000,AT/50set.csv
ATPlace2.5D,Case7_wl16,1,50913.056174,753.490532,76.980000,AT/50set.csv
ATPlace2.5D,Case7_wl17,1,57684.565464,753.487512,76.030000,AT/50set.csv
ATPlace2.5D,Case7_wl18,1,49312.974396,753.489022,76.180000,AT/50set.csv
ATPlace2.5D,Case7_wl19,1,47902.799314,753.484493,76.740000,AT/50set.csv
ATPlace2.5D,Case7_wl20,1,53544.813096,753.487512,76.560000,AT/50set.csv
ATPlace2.5D,Case7_wl21,1,48426.317588,753.484493,76.530000,AT/50set.csv
ATPlace2.5D,Case7_wl22,1,45009.158456,753.490532,76.250000,AT/50set.csv
ATPlace2.5D,Case7_wl23,1,39352.536970,753.484493,77.190000,AT/50set.csv
ATPlace2.5D,Case7_wl24,1,41870.796770,753.489022,76.820000,AT/50set.csv
ATPlace2.5D,Case7_wl25,1,43574.884398,753.490532,76.220000,AT/50set.csv
ATPlace2.5D,Case7_wl26,1,40592.356060,753.489022,77.670000,AT/50set.csv
ATPlace2.5D,Case7_wl27,1,39234.916770,753.484493,76.960000,AT/50set.csv
ATPlace2.5D,Case7_wl28,1,37463.995464,753.484493,77.500000,AT/50set.csv
ATPlace2.5D,Case7_wl29,1,37422.401648,753.490532,77.750000,AT/50set.csv
ATPlace2.5D,Case7_wl30,1,39101.212910,753.484493,76.960000,AT/50set.csv
ATPlace2.5D,Case7_wl31,1,35380.218732,753.484493,77.950000,AT/50set.csv
ATPlace2.5D,Case7_wl32,1,37037.223442,753.484493,77.300000,AT/50set.csv
ATPlace2.5D,Case7_wl33,1,36663.864532,753.484493,77.860000,AT/50set.csv
ATPlace2.5D,Case7_wl34,1,37156.059246,753.484493,77.420000,AT/50set.csv
ATPlace2.5D,Case7_wl35,1,36726.392010,753.492042,77.460000,AT/50set.csv
ATPlace2.5D,Case7_wl36,1,35815.570898,753.487512,77.950000,AT/50set.csv
ATPlace2.5D,Case7_wl37,1,37403.208968,753.484493,78.320000,AT/50set.csv
ATPlace2.5D,Case7_wl38,1,35373.254128,753.492042,78.000000,AT/50set.csv
ATPlace2.5D,Case7_wl39,1,33794.459282,753.492042,78.730000,AT/50set.csv
ATPlace2.5D,Case7_wl40,1,36251.836294,753.484493,77.810000,AT/50set.csv
ATPlace2.5D,Case7_wl41,1,35266.465606,753.484493,77.920000,AT/50set.csv
ATPlace2.5D,Case7_wl42,1,33463.657298,753.484493,78.480000,AT/50set.csv
ATPlace2.5D,Case7_wl43,1,33573.251596,753.489022,79.360000,AT/50set.csv
ATPlace2.5D,Case7_wl44,1,31123.280178,753.490532,80.080000,AT/50set.csv
ATPlace2.5D,Case7_wl45,1,33189.977168,753.484493,78.510000,AT/50set.csv
ATPlace2.5D,Case7_wl46,1,33104.203738,753.484493,78.510000,AT/50set.csv
ATPlace2.5D,Case7_wl47,1,30904.023832,753.484493,79.890000,AT/50set.csv
ATPlace2.5D,Case7_wl48,1,30381.679188,748.713299,79.640000,AT/50set.csv
ATPlace2.5D,Case7_wl49,1,31298.941006,742.462972,79.170000,AT/50set.csv
RLPlanner,Case7,1,61041.709298,751.795037,78.690000,RL/result.csv
RLPlanner,Case7,2,59137.162486,745.044486,78.960000,RL/result.csv
RLPlanner,Case7,3,68540.567900,751.482504,76.900000,RL/result.csv
RLPlanner,Case7,4,65210.115148,725.485101,77.560000,RL/result.csv
RLPlanner,Case7,5,61859.580230,747.014921,79.160000,RL/result.csv
MILP,Case7,1,20618.615000,691.015375,81.350000,ILP/result.csv
TW-FM,Case7_thermal0_wirelength0,121,59058.833762,558.272682,80.380000,result_seed121_7case.csv
TW-FM,Case7_thermal0_wirelength0p02,121,59499.953488,526.861187,80.780000,result_seed121_7case.csv
TW-FM,Case7_thermal0_wirelength0p2,121,55121.614108,487.667012,82.730000,result_seed121_7case.csv
TW-FM,Case7_thermal0p01_wirelength0,121,57898.121652,555.668923,80.080000,result_seed121_7case.csv
TW-FM,Case7_thermal0p01_wirelength0p02,121,60004.193218,532.366290,80.660000,result_seed121_7case.csv
TW-FM,Case7_thermal0p01_wirelength0p2,121,55617.567038,499.597113,82.500000,result_seed121_7case.csv
TW-FM,Case7_thermal0p03_wirelength0,121,62634.013274,561.119169,79.980000,result_seed121_7case.csv
TW-FM,Case7_thermal0p03_wirelength0p02,121,59067.518058,526.444196,80.910000,result_seed121_7case.csv
TW-FM,Case7_thermal0p03_wirelength0p2,121,54275.695406,482.396591,82.810000,result_seed121_7case.csv
TW-FM,Case7_thermal0p03_wirelength2,121,56954.625570,579.833974,78.640000,result_seed121_7case.csv
TW-FM,Case7_thermal0p1_wirelength0,121,60070.194436,565.969217,80.150000,result_seed121_7case.csv
TW-FM,Case7_thermal0p1_wirelength0p02,121,58883.697762,527.077537,81.240000,result_seed121_7case.csv
TW-FM,Case7_thermal0p1_wirelength0p2,121,55282.333826,487.650680,82.740000,result_seed121_7case.csv
TW-FM,Case7_thermal0p3_wirelength0,121,58240.628668,562.715669,79.780000,result_seed121_7case.csv
TW-FM,Case7_thermal0p3_wirelength0p02,121,61012.911346,531.760735,80.500000,result_seed121_7case.csv
